,ID,X,Y,Area,Intensity,ParentCellID,MeanIntensity,MaxIntensity,major_axis_length,minor_axis_length
2586,3733.0,1738.9122807017543,1011.6842105263158,57.0,,,0.0016185271088033915,0.001678492408245802,11.32653740957894,6.485448564009589
2587,3735.0,1491.6205533596838,1032.909090909091,253.0,,,0.00709990831092,0.010589761659502983,20.303167075865808,17.390698902858183
2588,3737.0,1856.7567567567567,1012.4054054054054,37.0,,,0.001399706001393497,0.001495384145528078,8.490589688823663,5.619323525962706
2589,3738.0,367.1309192200557,1023.3231197771588,359.0,,,0.0016530748689547181,0.0025024795904755592,27.210329615150584,19.00780567432017
2590,3739.0,494.6407766990291,1031.0453074433658,309.0,,,0.002493245294317603,0.0037232013419270515,32.86036592888753,15.414504057034684
2591,3740.0,1329.2,1016.8,5.0,,,0.001953154569491744,0.0019989318680018187,4.0,1.3856406460551023
2592,3741.0,141.84939759036143,1018.855421686747,166.0,,,0.0020177760161459446,0.0025787746999412775,15.354363516991729,13.80690098270566
2593,3743.0,289.85,1034.1684782608695,920.0,,,0.011891770176589489,0.021774623543024063,44.02662798996325,30.346236059126962
2594,3744.0,752.1428571428571,1030.7142857142858,7.0,,,0.003043085103854537,0.003707942320033908,37.42193949183822,1.91835276272647
2595,3746.0,990.9170305676856,1021.6986899563319,229.0,,,0.010409117676317692,0.014892805367708206,19.405067612992543,15.367784935909047
2596,3747.0,1192.9344262295083,1023.3934426229508,61.0,,,0.0017607909394428134,0.0019073777366429567,11.305327370169405,7.333155413830203
2597,3748.0,1292.0,1042.9285714285713,14.0,,,0.0012523297918960452,0.0013275349047034979,6.511134140044019,2.9920011674234734
2598,3749.0,1554.0,1013.0,1.0,,,0.0008697642479091883,0.0008697642479091883,0.0,0.0
2599,3750.0,1998.79,1018.37,100.0,,,0.0014584570890292525,0.0016632333863526583,17.159949703719427,9.13455670330091
2600,3753.0,206.34782608695653,1018.3913043478261,23.0,,,0.0017182984156534076,0.0018463416490703821,12.17756653532918,2.574021723567316
2601,3754.0,642.4090909090909,1019.9090909090909,88.0,,,0.0014927830779924989,0.001983672846108675,13.812719185232726,8.303271999638845
2602,3755.0,1268.8333333333333,1034.7666666666667,30.0,,,0.001283792546018958,0.0013885709922760725,12.488427506703237,3.192223288075117
2603,3756.0,1398.9137214137213,1038.454261954262,962.0,,,0.0028138619381934404,0.004638742655515671,50.78544410498658,40.708537828639756
2604,3757.0,817.7,1018.7,10.0,,,0.0016678111860528588,0.0017547875177115202,4.0,3.149603149604724
2605,3758.0,1156.8795454545455,1028.8,440.0,,,0.013977715745568275,0.024887464940547943,25.853332231972267,21.78419715208975
2606,3760.0,1786.111111111111,1020.8888888888889,9.0,,,0.0018463416490703821,0.001937895780429244,5.163977794943222,2.2222222222222223
2607,3761.0,1846.27,1021.99,100.0,,,0.0013823146000504494,0.001495384145528078,16.435161434654333,8.163177605372246
2608,3762.0,568.0,1034.0,3.0,,,0.0009918364230543375,0.0010223544668406248,3.265986323710904,0.0
2609,3765.0,1037.423076923077,1021.2692307692307,26.0,,,0.0014707350637763739,0.0016479743644595146,6.30850423664349,5.366049782901991
2610,3766.0,1688.4285714285713,1020.0,28.0,,,0.0011493313359096646,0.0011749446857720613,8.041899920659846,4.880332118253685
